orig,pert
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,"Net sales for the full fiscal year 2008 will be lower than in 2007, and operating profits are expected to be negative."
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .
"Jul. 18 -- Police are looking for a man who they say terrorized three males at gunpoint on East Maple Avenue this afternoon , shooting one of them and kidnapping another .","Jul. eighteen -- police force are looking for a adult male who they say terrorize three male at point on East Maple Avenue this afternoon , shot I of them and kidnapping another ."
"Jul. 18 -- Police are looking for a man who they say terrorized three males at gunpoint on East Maple Avenue this afternoon , shooting one of them and kidnapping another .","Jul. 18 -- Police are looking for a man who they say terrorized three males at gunpoint on East Maple Avenue this afternoon , shooting one of them and kidnapping another ."
"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .","During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day ."
"The apartment block will be well-located , in easy reach of the city center and close to both a school and kindergarten .",The apartment building is ideally located with easy access to the city center and close to schools and kindergartens.
"The apartment block will be well-located , in easy reach of the city center and close to both a school and kindergarten .","The apartment block will be well-located , in easy reach of the city center and close to both a school and kindergarten ."
Olli-Pekka Laine has been appointed as the Chairman and Erkki Pehu-Lehtonen as the Vice Chairman of the Board .,Olli-Pekka Laine has been appointed as the Chairman and Erkki Pehu-Lehtonen as the Vice Chairman of the Board .
"With the acquisition , the company will expand its offering to North , Central and South America , it said .","With the acquisition , the company will expand its offering to North , Central and South America , it said ."
Operating profit for 2009 lower than outlook published earlier .,Operating profit for 2009 was below the previously announced outlook.
Operating profit for 2009 lower than outlook published earlier .,Operating profit for 2009 lower than outlook published earlier .
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .","The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying ."
Finnish media group Talentum has issued a profit warning .,Finnish media group Talentum issued a profit warning.
Finnish media group Talentum has issued a profit warning .,Finnish media group Talentum has issued a profit warning .
"In addition to the Indian market , the new plant will serve Salcomp 's customers globally , the company said .","In addition to the Indian market , the new plant will serve Salcomp 's customers globally , the company said ."
To raise consumer awareness and encourage people to recycle their old mobile devices Nokia runs regular recycling campaigns around the world .,To wage increase consumer knowingness and encourage people to recycle their old Mobile River devices Nokia runs habitue recycling campaign around the world .
To raise consumer awareness and encourage people to recycle their old mobile devices Nokia runs regular recycling campaigns around the world .,To raise consumer awareness and encourage people to recycle their old mobile devices Nokia runs regular recycling campaigns around the world .
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .,Pretax loss come EUR 117mn compare to a loss of EUR 65mn in the check period of time .
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .,Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .
That topped consensus forecasts for earnings of 0.21 euros a share .,That topped consensus forecast for earnings of 0.21 euro a percentage .
That topped consensus forecasts for earnings of 0.21 euros a share .,That topped consensus forecasts for earnings of 0.21 euros a share .
The Court 's decision will also promote genuine competition in services,The Court 's decision will also promote genuine competition in services
The offer represents a premium of 24 % over the stock 's closing price on Friday .,The offer represents a premium of 24.2% over the stock 's closing price on Friday .
"Due to market conditions , the company will also temporarily lay off about 3,200 people at different sites .","The company will also temporarily lay off approximately 3,200 employees at various locations due to market conditions."
"Due to market conditions , the company will also temporarily lay off about 3,200 people at different sites .","Due to market conditions , the company will also temporarily lay off about 3,200 people at different sites ."
Finnish-Swedish Stora Enso does not understand the decision issued by a federal judge in Brazil concerning Stora Enso 's associated pulp company Veracel .,Finnish-Swedish Stora Enso does not understand the decision issued by a federal judge in Brazil concerning Stora Enso 's associated pulp company Veracel .
QPR product family is fully compatible with Microsoft 's Windows 7 operating system .,QPR merchandise family is to the full compatible with Microsoft 's Windows 7 operate system .
"Operating profit surged to EUR21m from EUR106 ,000 .","Operating profit surged to EUR21m from EUR106 ,000 ."
The employment contracts of 14 of the employees will end in March 2009 as a result of the company 's previous employer-employee talks .,The employment contracts of 14 of the employees will end in March 2009 as a result of the company 's previous employer-employee talks .
"Exports of goods fell by 59 % , and imports by 16.7 % .","Exports of goods fell by 58.8% , and imports by 16.8% ."
"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .","Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 ."
Last year 's third quarter result had been burdened by costs stemming from restructuring in the US .,Last year 's third quarter result had been burdened by costs stemming from restructuring in the US .
"Following its strategy , Tikkurila has established a fully-owned sales company TOO Tikkurila in Almaty , Kazakhstan , for marketing decorative paints under the Finnish Tikkurila brand and the Russian Teks brand .","followers its strategy , Tikkurila has launch a fully-owned gross sales company TOO Tikkurila in Alma-Ata , Kazakhstan , for marketing cosmetic paint under the Suomi Tikkurila brand name and the Russian Teks brand name ."
"Following its strategy , Tikkurila has established a fully-owned sales company TOO Tikkurila in Almaty , Kazakhstan , for marketing decorative paints under the Finnish Tikkurila brand and the Russian Teks brand .","In line with its strategy, Tikkurila established TOO Tikkurila, a wholly-owned sales company in Almaty, Kazakhstan, to market decorative coatings under the Finnish Tikkurila brand and the Russian Teks brand."
"Following its strategy , Tikkurila has established a fully-owned sales company TOO Tikkurila in Almaty , Kazakhstan , for marketing decorative paints under the Finnish Tikkurila brand and the Russian Teks brand .","Following its strategy , Tikkurila has established a fully-owned sales company TOO Tikkurila in Almaty , Kazakhstan , for marketing decorative paints under the Finnish Tikkurila brand and the Russian Teks brand ."
UPM-Kymmene has generated thirty-one consecutive quarters of positive EBITDA .,UPM-Kymmene has bring forth 31 consecutive quarters of positive EBITDA .
UPM-Kymmene has generated thirty-one consecutive quarters of positive EBITDA .,UPM-Kymmene has generated thirty-one consecutive quarters of positive EBITDA .
"Pretax profit totaled EUR 9.0 mn , down from EUR 36.3 mn in 2007 .","Pretax profit totaled EUR 9.0 mn , down from EUR 36.3 mn in 2007 ."
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","For the finish one-fourth of 2010 , Componenta 's net gross revenue duplicate to EUR131m from EUR76m for the same time period a yr earlier , while it travel to a aught pre-tax net from a pre-tax loss of EUR7m ."
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m ."
"The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today .","The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today ."
"The company booked April-June new orders worth 949 mln eur , compared with 786 mln eur in the same period a year ago .","The company book April-June new order worth 949 mln eur , compare with 786 mln eur in the same period of time a yr agone ."
"The company booked April-June new orders worth 949 mln eur , compared with 786 mln eur in the same period a year ago .","The company booked April-June new orders worth 949 mln eur , compared with 786 mln eur in the same period a year ago ."
As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .,As a upshot of the negotiations the employ of 130 blueness - and white-collar employees at the Oulu industrial plant would be terminate .
As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .,"As a result of the negotiations, 130 blue- and white-collar employees at the Oulu plant will be laid off."
As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .,As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .
"`` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing .","`` This contract show our ability to utilise our minerals and metals engineering in side by side industry , such as oil shale processing ."
"`` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing .",“This contract demonstrates our ability to apply our minerals and metals technology to adjacent industries such as oil shale processing.
"`` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing .","`` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing ."
"Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 .","internet gross sales of Kyro 's briny business organisation country , Glaston technology , a manufacturer of glass processing machine , diminish to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 ."
"Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 .","Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 ."
"We serve a broad range of customers , including construction and process industries , shipyards , the public sector and households .","We serve a broad orbit of customers , including building and process industry , shipyard , the public sector and household ."
"We serve a broad range of customers , including construction and process industries , shipyards , the public sector and households .","We serve a wide range of customers including the construction and process industries, shipyards, the public sector and households."
"We serve a broad range of customers , including construction and process industries , shipyards , the public sector and households .","We serve a broad range of customers , including construction and process industries , shipyards , the public sector and households ."
"FinancialWire tm is a fully independent , proprietary news wire service .","FinancialWire tm is a fully independent , proprietary news wire service ."
"Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business .","Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business ."
It appears from statistics of the Technical Surveillance Authority that customers who switch service providers mostly transfer their numbers to Elisa 's network .,"According to statistics from the Technical Supervision Bureau, most customers who change service providers transfer their numbers to Elisa&#39;s network."
It appears from statistics of the Technical Surveillance Authority that customers who switch service providers mostly transfer their numbers to Elisa 's network .,It appears from statistics of the Technical Surveillance Authority that customers who switch service providers mostly transfer their numbers to Elisa 's network .
"( ADPnews ) - Dec 1 , 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .","( ADPnews ) - Dec I , 2009 - Suomi cutting tool and mitt tool maker Fiskars Oyj Abp ( Hela : FISAS ) tell today that it will brand redundant a total of eighteen office and direction staff members of its subsidiary Iittala grouping Ltd. ."
"( ADPnews ) - Dec 1 , 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .","(ADPnews) - December 1, 2009 - Finnish cutlery and hand tool maker Fiskars Oyj Abp (HEL: FISAS) said today it will lay off a total of 18 office and management staff at its subsidiary Iittala Group Ltd."
"( ADPnews ) - Dec 1 , 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .","( ADPnews ) - Dec 1 , 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. ."
"The StoneGate product family was designed to provide the full benefits of a unified management system including shared logging , reporting and auditing .","The StoneGate product family is designed to provide the full benefits of a unified management system, including shared logging, reporting and auditing."
"The StoneGate product family was designed to provide the full benefits of a unified management system including shared logging , reporting and auditing .","The StoneGate product family was designed to provide the full benefits of a unified management system including shared logging , reporting and auditing ."
"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 .","Last year, the company&#39;s turnover increased from 6.1 million litas in 2004 to approximately 7 million litas (2 million euros)."
"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 .","Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 ."
Finnish plumbing and heating systems supplier Uponor Corporation ( OMX Helsinki : UNR1V ) said on Tuesday ( 12 August ) that its board of directors has authorised the management to proceed with a company-wide cost reduction program .,Finnish plumbing and heating systems supplier Uponor Corporation ( OMSnap Helsinki : UNR1V ) said on Tuesday ( 12 August ) that its board of directors has authorised the management to proceed with a company-wide cost reduction program .
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .,Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .","The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 ."
The aim is to achieve EUR 2.5 mn yearly savings .,The aim is to achieve EUR 2.5 mn yearly savings .
stores 16 March 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said yesterday that it will cut a total of 28 jobs in its units Tiimari Retail Ltd and Gallerix Finland Ltd as a result of the closure of shops .,shop XVI Mar 2010 - Finnish stationery and gift retailer Tiimari Hela : TII1V tell yesterday that it will cut a total of twenty-eight business in its unit of measurement Tiimari Retail Ltd and Gallerix Finland Ltd as a outcome of the closing of store .
stores 16 March 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said yesterday that it will cut a total of 28 jobs in its units Tiimari Retail Ltd and Gallerix Finland Ltd as a result of the closure of shops .,stores 16 March 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said yesterday that it will cut a total of 28 jobs in its units Tiimari Retail Ltd and Gallerix Finland Ltd as a result of the closure of shops .
"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 .","Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 ."
"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .","After the acquisition, Cramo will become the second largest rental service provider in the Latvian market."
"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .","After the takeover , Cramo will become the second largest rental services provider in the Latvian market ."
"Rohwedder Group is an automotive supplies , telecommunications and electronics industry provider for customers in Europe , North America and Asia .","Rohwedder Group is a supplier to the automotive, telecommunications and electronics industries, serving customers in Europe, North America and Asia."
"Rohwedder Group is an automotive supplies , telecommunications and electronics industry provider for customers in Europe , North America and Asia .","Rohwedder Group is an automotive supplies , telecommunications and electronics industry provider for customers in Europe , North America and Asia ."
"In the building and home improvement trade , sales decreased by 6.3 % , totalling EUR 154.1 mn .","In the edifice and place betterment trade , sales decreased by 6.3 % , come EUR 154.1 mn ."
"In the building and home improvement trade , sales decreased by 6.3 % , totalling EUR 154.1 mn .","In the building and home improvement trade , sales decreased by 6.4% , totalling EUR 154.1 mn ."
"Nordea Bank ( STO : NDA ) and Sampo Bank have helped Finnish real estate investment company Sponda ( HEL : SDA1V ) place a EUR100m ( USD125 .4 m ) domestic bond , the company said Friday .","Nordea Bank ( STO : NDA ) and Sampo Bank have helped Finnish real estate investment company Sponda ( HEL : SDA1V ) place a EUR100m ( USD125 .4 m ) domestic bond , the company said Friday ."
"Since the registration of the shares subscribed in a directed share issue , the new number of Panostaja shares and voting rights is 41,733,110 .","Since the registration of shares in the private placement, the number of new shares and voting rights in Panostaja amounted to 41,733,110 shares."
"Since the registration of the shares subscribed in a directed share issue , the new number of Panostaja shares and voting rights is 41,733,110 .","Since the registration of the shares subscribed in a directed share issue , the new number of Panostaja shares and voting rights is 41,733,110 ."
Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 .,Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 .
"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being .","Rapala VMC corp STOCK EXCHANGE RELEASE Oct decade , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has inform Rapala VMC corp ( `` Rapala '' ) that it has interrupt the liquid state provide for Rapala 's portion for the clip being ."
"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being .","Rapala VMC Corporation STOCK ESnapCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being ."
"Insurer Axa ( PAR : CS ) slid by 5.35 % to EUR 14.15 , after Citigroup and ING slashed their targets on the stock .","Insurer Axa ( PAR : CS ) slid by 5.1% to EUR 14.15 , after Goldman Sachs and ING slashed their targets on the stock ."
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .","In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 ."
"Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio .","establish in 1946 , Strand associate , which provide civil , environmental , transit , electrical and mechanical engineering services , has 350 employees at ten offices in Wisconsin River , Alabama , IL , Hoosier State , KY and OH ."
"Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio .","Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio ."
Finnish Bank of +_land reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 .,Finnish Bank of +_land reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 .
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .,profit per percentage ( EPS ) in 2005 decrease to EUR1 .87 from EUR1 .89 in 2003 .
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .,Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .
"These companies own a 20,000 sq. m. office and commercial building and substantial amount of building right for a new shopping center in Liljeholmen , Stockholm .","These company own a 20,000 sq. m. office and commercial message building and significant sum of building right for a new shopping eye in Liljeholmen , capital of Sweden ."
"These companies own a 20,000 sq. m. office and commercial building and substantial amount of building right for a new shopping center in Liljeholmen , Stockholm .","These companies have 20,000 square meters of factory buildings. Substantial construction rights for office and commercial buildings as well as the new shopping center Liljeholmen in Stockholm."
"These companies own a 20,000 sq. m. office and commercial building and substantial amount of building right for a new shopping center in Liljeholmen , Stockholm .","These companies own a 20,000 sq. m. office and commercial building and substantial amount of building right for a new shopping center in Liljeholmen , Stockholm ."
"National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .","National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation ."
"The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .","The disposal of Autotank will also beef up Aspo 's working capital construction , '' comment Gustav Nyberg , chief executive officer of Aspo ."
"The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .","The sale of Autotank will also strengthen Aspo&#39;s capital structure. ” commented Gustav Nyberg, CEO of Aspo."
"The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .","The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo ."
Prices and delivery volumes of broadband products decreased significantly in 2005 .,Prices and bringing volumes of broadband merchandise decrease significantly in 2005 .
Prices and delivery volumes of broadband products decreased significantly in 2005 .,"In 2005, both broadband product prices and shipments dropped significantly."
Prices and delivery volumes of broadband products decreased significantly in 2005 .,Prices and delivery volumes of broadband products decreased significantly in 2005 .
"The services also give the supplier opportunity to key-in invoices , receive orders electronically , to send order confirmations and to upload and create electronic catalogues .","The services also springiness the supplier opportunity to key-in invoice , receive order electronically , to send order substantiation and to upload and make electronic catalog ."
"The services also give the supplier opportunity to key-in invoices , receive orders electronically , to send order confirmations and to upload and create electronic catalogues .","These services also provide suppliers with the opportunity to enter invoices, receive orders electronically, send order confirmations, and upload and create electronic catalogs."
"The services also give the supplier opportunity to key-in invoices , receive orders electronically , to send order confirmations and to upload and create electronic catalogues .","The services also give the supplier opportunity to key-in invoices , receive orders electronically , to send order confirmations and to upload and create electronic catalogues ."
"Operating profit totaled EUR 9.4 mn , down from EUR 11.7 mn in 2004 .","Operating profit totaled EUR 9.4 mn , down from EUR 11.7 mn in 2004 ."
"The largest restructuring is planned for Italy , where negotiations on about 40 job cuts are to be initiated today , the company noted .","The largest restructuring is planned for Italy , where negotiations on about 40 job cuts are to be initiated today , the company noted ."
"The production capacity can be tripled without any major additional investments , the company said .","The production capacity can be triple without any major extra investing , the company tell ."
"The production capacity can be tripled without any major additional investments , the company said .",The company said production capacity could be tripled without any major additional investment.
"The production capacity can be tripled without any major additional investments , the company said .","The production capacity can be tripled without any major additional investments , the company said ."
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .","On 11 May 2007, liquidity provision was disrupted when Aspocomp Group Oyj&#39;s shares were trading below 0.50 cents (Aspocomp Stock Exchange release on 11 May 2007)."
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .","The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) ."
Return on equity stood at 18.3 % compared to 15.4 % in the third quarter of 2005 .,Return on equity stand at 18.3 % compare to 15.4 % in the one-third fourth part of 2005 .
Return on equity stood at 18.3 % compared to 15.4 % in the third quarter of 2005 .,Return on equity stood at 18.5% compared to 15.5% in the third quarter of 2005 .
Scanfil has also issued a profit warning .,Scanfil has also bring out a earnings warning .
Scanfil has also issued a profit warning .,Scanfil has also issued a profit warning .
Commission income rose by 25.7 % to EUR 16.1 mn from EUR 12.8 mn in 2004 .,Commission income rose by 25.8% to EUR 16.1 mn from EUR 12.8 mn in 2004 .
UPM-Kymmene has generated four consecutive quarters of positive Free Cash Flow .,UPM has generated positive free cash flow for four consecutive quarters.
UPM-Kymmene has generated four consecutive quarters of positive Free Cash Flow .,UPM-Kymmene has generated four consecutive quarters of positive Free Cash Flow .
Net sales surged by 30 % to EUR 36 million .,Net sales surged by 29.9% to EUR 36 million .
"However , he expects banks to provide alternative financing .","However, he expected banks to provide alternative financing."
"However , he expects banks to provide alternative financing .","However , he expects banks to provide alternative financing ."
The recent troubles simply make NETeller cheaper .,The recent troubles just brand NETeller cheaper .
The recent troubles simply make NETeller cheaper .,The recent troubles have only made NETeller cheaper.
The recent troubles simply make NETeller cheaper .,The recent troubles simply make NETeller cheaper .
"Finnish electronics contract manufacturer Scanfil had net sales of EUR 52.2 mn in the first quarter of 2007 , down from EUR 60.1 mn a year before .","Finnish electronics contract manufacturer Scanfil had net sales of EUR 52.2 mn in the first quarter of 2007 , down from EUR 60.1 mn a year before ."
"Operating profit for the three-month period decreased from EUR1 .65 m while net sales increased from EUR14 .6 m , as compared to the corresponding period in 2005 .","Operating profit for the three-month period decreased from EUR1 .65 m while net sales increased from EUR14 .6 m , as compared to the corresponding period in 2005 ."
"The third applicant , Fortum , was dropped .","The third applicant , Fortum , was dropped ."
"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market .","The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market ."
"The two companies will also partner in further developing Raiso 's cholesterol lowering brand , Benecol .","The deuce companies will too partner in further development Raiso 's cholesterol lowering brand name , Benecol ."
"The two companies will also partner in further developing Raiso 's cholesterol lowering brand , Benecol .","The two companies will also partner in further developing Raiso 's cholesterol lowering brand , Benecol ."
"In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 .","In October, UPM announced a net loss of 86 million euros ($110 million) in the third quarter, compared with a net profit of 120 million euros in 2007."
"In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 .","In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 ."
"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .","The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 ."
"The staff reduction will start immediately , Glaston added .","The staff diminution will start right away , Glaston added ."
"The staff reduction will start immediately , Glaston added .","The staff reduction will start immediately , Glaston added ."
"Swiss bank Credit Suisse International will act as an investor in the locomotive manufacturing plant , the Astana administration said .",The Astana government said international bank Credit Suisse will serve as an investor in the locomotive manufacturing plant.
SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .,SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .
"Linde acts responsibly towards its shareholders , business partners , employees , society and the environment - in every one of its business areas , regions and locations across the globe .","Linde acts responsibly towards its shareholders , business partners , employees , society and the environment - in every one of its business areas , regions and locations across the globe ."
Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready .,Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready .
"Suominen Corporation estimates that the cost-cutting program that started in autumn 2005 , higher sales prices , and expected growth in volume of Wet Wipes , will make the company 's operations more profitable .","Suominen corp estimation that the cost-cutting program that started in autumn 2005 , higher gross revenue cost , and expect growth in volume of moisture Wipes , will brand the company 's trading operations more profitable ."
"Suominen Corporation estimates that the cost-cutting program that started in autumn 2005 , higher sales prices , and expected growth in volume of Wet Wipes , will make the company 's operations more profitable .","Suominen Corporation estimates that the cost-cutting program that started in autumn 2005 , higher sales prices , and expected growth in volume of Wet Wipes , will make the company 's operations more profitable ."
In addition the production personnel of the Sport Division have been given a temporary lay-off warning .,In addition the production personnel of the Sport Division have been given a temporary lay-off warning .
"The decision will have to be made whether the group agrees to the import of Estonian meat and meat products to Finland , the paper added .","The decision will have to be made whether the group agrees to the import of Estonian meat and meat products to Finland , the paper added ."
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .
"Nokia Siemens Networks provides mobile and fixed network infrastructure , communications and networks service platforms , as well as professional services , to operators and service providers .","Nokia Siemens Networks provides mobile and fixed network infrastructure , communications and networks service platforms , as well as professional services , to operators and service providers ."
Poyry is a global expert in consulting and engineering .,Poyry is a global expert in confer with and technology .
Poyry is a global expert in consulting and engineering .,Poyry is a global consulting and engineering expert.
Poyry is a global expert in consulting and engineering .,Poyry is a global expert in consulting and engineering .
Stora Enso 's target has been cut to EUR 4.85 from EUR 5.55 and Holmen 's target -- to SEK 135 from SEK 150 .,Stora Enso 's mark has been cut to EUR 4.85 from EUR 5.55 and Holmen 's mark -- to SEK cxxxv from SEK cl .
